Artwork Title,Bibliography,Catalogue ID,Coverage,Creator,Current Location,Date,Link,New Attribution (Artist),Present Owner,Provenance,Publisher,Recent Auction?,Relation,Rights,Title,added,extended_resources_exhibit_pages,featured,files_count,files_resource,files_url,id,item_type_id,item_type_name,item_type_resource,item_type_url,modified,owner_id,owner_resource,owner_url,public,tags,url
None,None,1,Spain,Early Netherlandish School,Museo Thyssen-Bornemisza,c. 1433,"<a href=""https://archive.org/stream/gri_33125000903597#page/n28/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n28/mode/1up</a> <br /><a href=""https://archive.org/stream/gri_33125000903597#page/n25/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n25/mode/1up</a>",as by Rogier van der Weyden,"<a href=""http://www.museothyssen.org"">Museo Thyssen-Bornemisza</a>",None,None,None,None,None,Virgin and Child Enthroned,2015-12-30T14:53:53+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1381,1381,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-01-14T17:32:17+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Early Netherlandish School, Museo Thyssen-Bornemisza",http://northbrook.omeka.net/api/items/1381
None,None,2,United Kingdom,Master of Saint Giles,NGA London,about 1500,"<a href=""https://archive.org/stream/gri_33125000903597#page/n29/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n29/mode/1up</a> <br /><a href=""https://archive.org/stream/gri_33125000903597#page/n32/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n32/mode/1up</a>",Master of St. Giles,"<a href=""http://www.nationalgallery.org.uk"">National Gallery, UK</a>",None,None,None,None,None,Saint Giles and the Deer,2015-12-30T14:53:54+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1382,1382,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-01-14T17:28:54+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Early Netherlandish School, NGA London",http://northbrook.omeka.net/api/items/1382
None,None,3,None,Early Netherlandish School,Unknown,1490-1510,"<a href=""https://archive.org/stream/gri_33125000903597#page/n34/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n34/mode/1up</a>",Offered at TEFAF Maastrich in 2005 through Galerie De Jonckheere,None,"private collection Sir Thomas Baring (1st Earl of Northbrook), London/East Hampshire
art dealer Colnaghi, London/New York
1929 - according to inscription on the back photographs from archives MJ Friedländer
Private collection
England 
1958 - signaled (see exhibitions)
Private collection
New York City
art dealer Otto Wertheimer, Paris
1960 - signaled
Private collection
Switzerland
Gallery Romans, Zurich
2003 - signaled
Galerie De Jonckheere, Brussels / Paris
2005 - signaled at TEFAF, Maastricht, 2005",None,None,None,None,"Saints Cecily, Margaret, Agatha and Dorothy",2015-12-30T14:53:54+00:00,None,False,2,files,http://northbrook.omeka.net/api/files?item=1383,1383,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-01-14T17:17:04+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Early Netherlandish School, Unknown",http://northbrook.omeka.net/api/items/1383
None,None,4,Netherlands,Attributed to Adriaen Ysenbrandt,Rijksmuseum,c. 1530-c. 1540,"<a href=""https://archive.org/stream/gri_33125000903597#page/n38/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n38/mode/1up<br /><br /></a><a href=""https://www.rijksmuseum.nl/en/collection/SK-A-4045"">https://archive.org/stream/gri_33125000903597#page/n35/mode/1up</a><a href=""https://archive.org/stream/gri_33125000903597#page/n38/mode/1up""><br /></a>",Adriaen Ysenbrandt,"<a href=""http://www.rijksmuseum.nl"">Rijksmuseum</a>","…; from the dealer John Smith (1771-1855), £ 250, to Thomas Baring (1799-1873), London and Stratton Park, Hampshire, 1851;{Smith Archives (Victoria & Albert Museum), 86 CC 4, p. 153; with thanks to E.S. Bergvelt; coll. cat. Northbrook 1889, no. 4.} his nephew, Thomas George Baring (1826-1904), 1st Earl of Northbrook, Stratton Park, Hampshire;{Coll. cat. Northbrook 1889, p. ix.} his son, Francis George Baring (1850-1929), 2nd Earl of Northbrook, 42 Portland Square, London, or Stratton Park, Hampshire; from whom to the dealers Knoedler and P. & D. Colnaghi, London, 1929;{Broos in coll. cat. The Hague 1993, p. 150.} from P. & D. Colnaghi, London, 6,000 gns, Isaäc de Bruijn (1872-1953), Spiez and Muri, near Bern, 1929;{Note RMA.} donated to the museum by Isaäc de Bruijn and his wife, Johanna Geertruida de Bruijn-van der Leeuw (1877-1960), Spiez and Muri, near Bern, 1949, but kept in usufruct;{Note RMA.} transferred to the museum, 1961",None,None,None,None,Virgin and Child,2015-12-30T14:53:54+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1384,1384,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-03-03T21:12:28+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Early Netherlandish School, Rijksmuseum",http://northbrook.omeka.net/api/items/1384
None,None,5,USA,"Adriaen Ysenbrandt
",CMOA,c. 1520-1550,"<a href=""https://archive.org/stream/gri_33125000903597#page/n40/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n40/mode/1up</a>",Adriaen Ysenbrandt,"<a href=""http://www.cmoa.org"">Carnegie Museum of Art</a>","Adrien Ysenbrandt [1500?-1551?]. M. Nieuwenhuys, in 1856 [1]; purchased by Thomas Baring, M.P. [1799-1873], in 1856 [2]; bequest to his nephew, Thomas George Baring, Lord Northbrook, subsequently 1st Earl of Northbrook [1826-1904], in 1873 [3]; by descent to Francis George Baring, 2nd Earl of Northbrook [1850-1929], until at least 1927 [4]. Julius Böhler, Munich, Germany, August 30, 1929 until at least January 16, 1935, stock no. 217-29 [5]; Howard A. Noble [1874-1964], Pittsburgh, PA by April 1944 until April 30, 1964 [6]; his bequest to Museum of Art, Carnegie Institute, Pittsburgh, PA, May 1964. 

NOTES:
[1]. The information is from entry no. 5 in the 1889 catalogue of the Earl of Northbrook collection. It refers, most likely, to noted collector and dealer C. J. Nieuwenhuys [1799-1883], Brussels and London. 
[2]. As by Bernard Van Orley. 
[3]. In the 1889 catalogue of the Earl of Northbrook collection, this work, no. 5, is simply listed under the ""Early Netherlandish School"" section, with the following footnote: ""A similar picture was, in 1860, in the collection of the Rev. Mr. Heath, Vicar of Enfield."" 
[4]. The Earl lent it to the Royal Academy Exhibition of Flemish and Dutch art in 1927. 
[5]. Photo, no. R 770. Information from a copy of the firm's inventory records at the Getty Research Institute. The record for this painting lists the source as ""Sarasota N 248"", which may suggest a connection with John Ringling with whom the Böhler firm had a long and close relationship.
[6]. Notes: In 1944, the painting hung in the living room of the Noble residence at 1245 Shady Avenue, Pittsburgh, PA.",None,None,None,None,Vision of Saint Ildefonsus,2015-12-30T14:53:54+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1385,1385,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-03-03T21:12:08+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"CMOA, Early Netherlandish School",http://northbrook.omeka.net/api/items/1385
None,None,6,None,"Master van Alkmaar
","Pieter Smidt van Gelder, Amsterdam/Antwerp",1500-1524,"<a href=""https://archive.org/stream/gri_33125000903597#page/n41/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n41/mode/1up</a>",attributed to Meester van Alkmaar,Pieter Smidt van Gelder,"private collection Sir Thomas Baring (1st Earl of Northbrook), London/East Hampshire
art dealer Duits & Co., Dordrecht/Amsterdam/London
zie aantekening op achterzijde foto uit archief M.J. Friedländer
art dealer Walter Paech, Amsterdam
1932 -
private collection Pieter Smidt van Gelder, Amsterdam/Antwerp",None,None,None,None,Ecce Homo,2015-12-30T14:53:54+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1386,1386,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-03-03T21:14:00+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Amsterdam/Antwerp, Early Netherlandish School, Pieter Smidt van Gelder",http://northbrook.omeka.net/api/items/1386
None,None,7,None,Early Netherlandish School,None,None,"<a href=""https://archive.org/stream/gri_33125000903597#page/n42/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n42/mode/1up</a>",None,None,None,None,None,None,None,Flight in to Egypt,2015-12-30T14:53:55+00:00,None,False,0,files,http://northbrook.omeka.net/api/files?item=1387,1387,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-01-14T16:48:43+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,Early Netherlandish School,http://northbrook.omeka.net/api/items/1387
None,None,8,None,"David Gérard
","Foundation Bemberg, Toulousse",None,"<a href=""https://rkd.nl/en/explore/images/record?query=Northbrook&amp;start=0"">https://rkd.nl/en/explore/images/record?query=Northbrook&amp;start=0</a>","New attribution as by Gerard David, See: https://rkd.nl/en/explore/images/45649 . RKD rejects the Gerard David attribution and gives it as ""circle of Adriaen Ysenbrandt""","<a href=""http://www.fondation-bemberg.fr/"">Foundation Bemberg</a>","private collection Sir Thomas Baring (1st Earl of Northbrook), London/East Hampshire
1899 - gesignaleerd op tent. Londen 1899-1900 (zie bij tentoonstelling)
private collection Countess of Northbrook, London
volgens eigenhandige aantekening M.J. Friedländer op achterzijde foto in het foto-archief M.J. Friedländer: 'Countess of Northbrook / 3.Mai Christies / Dr. Bloch fragt'; idem op andere foto in hetzelfde archief: 'Londen / Lady Northbrook' en 'III.40 / sale'
1940 geveild: Londen 1940-05-03
art dealer D. Katz, Dieren (Rheden)
volgens aantekening in exemplaar veilingcatalogus op het RKD door N. Katz gekocht op de veiling 1940-05-03; volgens eigenhandige aantekening M.J. Friedländer op achterzijde foto in het foto-archief M.J. Friedländer: 'Katz'
1940 -
private collection Viktor Bloch, Vienna
volgens eigenhandige aantekening M.J. Friedländer op achterzijde foto in het foto-archief M.J. Friedländer: 'Countess of Northbrook / 3.Mai Christies / Dr. Bloch fragt'
Private collection
Duitsland
1963 - gesignaleerd op tentoonstelling Neurenberg 1963 (zie bij tentoonstelling)",None,None,None,None,Virgin and Child,2015-12-30T14:53:55+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1388,1388,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-09-06T19:45:04+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Early Netherlandish School, Foundation Bemberg, Toulousse",http://northbrook.omeka.net/api/items/1388
None,None,9,None,"Circle of the Master of the Magdalene Legend
",Unknown,c. 1485-1490,"<a href=""https://archive.org/stream/gri_33125000903597#page/n43/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n43/mode/1up</a>","Circle of the Master of the Magdalene Legend, sold in Nov 2014",None,"- Collection Thomas Baring, Earl of Northbrook; 
- Auction Lempertz, November 19, 1981, Lot 135; 
- Private collection North Rhine-Westphalia",None,Yes,None,None,Maria Lactans on the Crescent,2015-12-30T14:53:55+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1389,1389,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-09-06T17:52:52+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Early Netherlandish School, Unknown",http://northbrook.omeka.net/api/items/1389
None,None,10,None,Early German,"Museé de l'Ain, Bourg-en-Bresse",1515-1525,"<a href=""https://archive.org/stream/gri_33125000903597#page/n44/mode/1up"">https://archive.org/stream/gri_33125000903597#page/n44/mode/1up</a>",as by Jan der Beer,"Ain Museum, Bourg-en-Bresse","private collection Sir Thomas Baring (1st Earl of Northbrook), London/East Hampshire
according to a handwritten note on the back photographs from archives MJ Friedländer
art dealer Colnaghi, London/New York
according to a handwritten note on the back photographs from archives MJ Friedländer 
in 1929 - signaled by MJ Friedländer
Ain Museum, Bourg-en-Bresse, inv. / Cat.nr 9.78.7.AD
1978 -",None,None,None,None,Infant Christ Enthroned,2015-12-30T14:53:55+00:00,None,False,1,files,http://northbrook.omeka.net/api/files?item=1390,1390,18,Museum Data,item_types,http://northbrook.omeka.net/api/item_types/18,2016-01-14T16:34:21+00:00,29003,users,http://northbrook.omeka.net/api/users/29003,True,"Bourg-en-Bresse, Early German, Museé de l'Ain",http://northbrook.omeka.net/api/items/1390
